,text,label
2,. U &amp; your #legislature are ruining YOUR state. From pot smoke filling the air 5 minutes after leaving the airport &amp; constantly being present in hotels to this ridiculous new bike law allowing bikers to basically ignore stop signs and red lights.,['legislature']
5,#Ban on #Transgender #Athletes From #Women’s #Sports #Advances in #hateful #Republican-Controlled #Louisiana #Legislature.   ,"['ban', 'transgender', 'athletes', 'women', 'sports', 'advances', 'hateful', 'republican', 'louisiana', 'legislature']"
6,More good news for living #organdonors in #Virginia! The #LivingDonorProtectionAct has been signed into law! We thank the #VA lawmakers and #legislature for supporting our fight on all fronts against #kidneydisease. #DonateLife #DonateLifeMonth  ,"['organdonors', 'virginia', 'livingdonorprotectionact', 'va', 'legislature', 'kidneydisease', 'donatelife', 'donatelifemonth']"
7,For NOTHING!!!  #TogetherLouisiana we can make a difference! Make your voice heard!  #GS4GND #Louisiana #Legislature ,"['togetherlouisiana', 'gs4gnd', 'louisiana', 'legislature', 'wechoosenow']"
8,"The purchase of a new, more modern, and convenient office for #RensselaerCounty services in #EastGreenbush was approved at the April 12 meeting of the Rensselaer County #Legislature.    ","['rensselaercounty', 'eastgreenbush', 'legislature']"
9,"The purchase of a new, more modern, and convenient office for #RensselaerCounty services in #EastGreenbush was approved at the April 12 meeting of the Rensselaer County #Legislature.    ","['rensselaercounty', 'eastgreenbush', 'legislature']"
10,This #oklahoma #legislature is outta their damn minds! Only thing we gonna make sure of is voting for a different governor.,"['oklahoma', 'legislature']"
11,"Since we in #PotStocks #Cannabis been #WrongandRed since Feb 2021 , what #Catalysts are next besides   and his #TrojanHorse #Legislature ??  ","['potstocks', 'cannabis', 'wrongandred', 'catalysts', 'trojanhorse', 'legislature']"
12,"The  #Legislature announced Tuesday that 34 organizations will receive a total of $60,000 in funding through the 2022 #CountyInitiativeProgram.    ","['legislature', 'countyinitiativeprogram']"
13,"The  #Legislature announced Tuesday that 34 organizations will receive a total of $60,000 in funding through the 2022 #CountyInitiativeProgram.    ","['legislature', 'countyinitiativeprogram']"
14,"NY liquor stores can remain open on Christmas thanks to Hochul, Albany budget deal #4822 #christmas #CoronavirusinNY #kathyhochul #legislature #liquor #restaurants  ","['christmas', 'coronavirusinny', 'kathyhochul', 'legislature', 'liquor', 'restaurants']"
16,"#Missouri #Voters ! Your Republican-led #legislature is trying to full a fast one on you, please read below and call your State Senators.","['missouri', 'voters', 'legislature']"
17,"Just how does  have the gall 2 claim anyone ELSE oversteps his authority when Ronnie does it almost daily? Drawing new maps is constitutional duty of #Legislature, but #AuthoritarianDesantis couldn't care less about the Florida Constitution OR about ","['legislature', 'authoritariandesantis', 'fairdistricts']"
18,"#GOP #Gov. #RonDeSantis will draw the #RedistrictingMap for #Florida after the #Legislature left the map-drawing-duty with him, &amp; DeSantis  expected to create very GOP-friendly state's #CongressionalDistricts, full story:  ","['gop', 'gov', 'rondesantis', 'redistrictingmap', 'florida', 'legislature', 'congressionaldistricts']"
19,"#GOP #Gov. #DeSantis will draw the federal #redistricting map for #Florida after the #Republican-led state #Legislature announced this &amp; should create very #GOP-friendly apportionment of #CongressionalDistricts,    ","['gop', 'gov', 'desantis', 'redistricting', 'florida', 'republican', 'legislature', 'gop', 'congressionaldistricts']"
20,"#Oklahoma #Legislature Passes Invoice to Compose Performing an Abortion Illegal, Punishable by 10 Years in Penal advanced  ","['oklahoma', 'legislature']"
21," Democracy in danger when #Legislature, #executive and #judiciary is being controlled by only one person than its called monarchy #SaveDemocracy ","['legislature', 'executive', 'judiciary', 'savedemocracy']"
22,The counting of votes for the Legislative Council elections held on 36 seats is being taken up today as the BJP eyes a clean sweep and become the single largest party in the state Upper House.  #upperhouse #bjp #legislature #legislative #elections #news #newslatest #newsupdate  ,"['upperhouse', 'bjp', 'legislature', 'legislative', 'elections', 'news', 'newslatest', 'newsupdate']"
25,Florida lawmakers cave to DeSantis on redistricting and will defer to him with new map   “DeSantis has demanded the legislature join his fight to eliminate two districts where Black residents are a plurality.” #Florida #Redistricting #Legislature ,"['florida', 'redistricting', 'legislature', 'cowards']"
26,    Lets cheer for up and coming autocrat Ron Desantis. Now he is drawing his own #redistricting maps because he feels his #legislature is not biased enough. No governor gas ever done this before. He is nuts and if he become POTUS watch out USA.,"['redistricting', 'legislature']"
27,A statewide crisis is being solved in Washington by creating an alert system for missing indigenous people. Learn more. #IndigenousPeoples #Washington #Legislature  ,"['indigenouspeoples', 'washington', 'legislature']"
28,"The #RuleOfLaw ensures law is above everyone, and the separation of powers enhances the check and balance functions of the #legislature, executive and the #Judiciary.  ","['ruleoflaw', 'legislature', 'judiciary']"
29,"In India People tell you about  Four pillars of democracy  #legislature #executive #Judiciary #press   What they don't tell you is that , all of them are most corrupt and fucked up. #jokersays ","['legislature', 'executive', 'judiciary', 'press', 'jokersays', 'latenightthoughts']"
31,"More reccs:  ➡️ for NYS #Legislature &amp; : remove the #NYPD sole authority to discipline, so cops who lie can be disciplined.   ➡️ for #NYPD: follow your protocols. Fire officers found to lie. Period. (9/10)   #FireLyingCops  ","['legislature', 'nypd', 'nypd', 'firelyingcops']"
