,text,label
2,A big thank you to @csupmsoccer for coming out to work with little brothers (aka Jimmy)  @pueblorangers 2012 Elite team!! Great experience for all!! #soccer #BeElite #BackThePack  https://t.co/JjQcKRJJPR,"['soccer', 'beelite', 'backthepack']"
3,Soccer Super League  https://t.co/y7cBQStK0e #soccer #league #Football #17,"['soccer', 'league', 'football']"
12,Welcome to AK’s Podcast!! Go like share and subscribe on YouTube link in bio 🔴🎙.   #podcast #podcasts #youtube #sports #sportspodcast #football #basketball #soccer #trackandfield #barca #media #mediaday #futbol #soccerlife  https://t.co/kAQmIvmAip,"['podcast', 'podcasts', 'youtube', 'sports', 'sportspodcast', 'football', 'basketball', 'soccer', 'trackandfield', 'barca', 'media', 'mediaday', 'futbol', 'soccerlife']"
13,Topping off the regular season with these highlights! @SamfordSoccer @ncsa @NcsaSoccer @RecruitGeorgia @RecruitSoccer #callaway #soccer  https://t.co/92GyJdiomW,"['callaway', 'soccer']"
16,"i love soccer, how about you?? #soccer",['soccer']
18,#EsoccerBattle8minsplay Real Sociedad (Nederfox) Esports v Napoli (Arm_KILLER) Esports  https://t.co/rbM1HdtK7l #Soccer,"['esoccerbattle8minsplay', 'soccer']"
19,"@clubsoccergame, Brilliant soccer management game.  #CSD21 #soccer   https://t.co/UbH01lM9im","['csd21', 'soccer']"
21,4A Girls &amp; Boys Soccer Finals: #1 Thunder Basin 7 Campbell County 0 - girls Thunder Basin 3 Campbell County 1 - boys #wyopreps #soccer,"['wyopreps', 'soccer']"
22,#EsoccerBattle8minsplay Real Sociedad (Nederfox) Esports v Napoli (Arm_KILLER) Esports  https://t.co/ekv9eSQddW #Soccer,"['esoccerbattle8minsplay', 'soccer']"
23,FUT Captains Team 2 leaks we know so far #FIFA22 #FUTCaptains #FUT22 #soccer #spottis  https://t.co/2njZSDvEDO,"['fifa22', 'futcaptains', 'fut22', 'soccer', 'spottis']"
24, https://t.co/LhRpLdiZUD Senior Girls on the soccer pitch today at Mackie Park. #soccer #raiders #sd37  https://t.co/IQiBkFuO9x,"['soccer', 'raiders', 'sd37']"
25,Back at it late night tonight.  Adult indoor soccer to referee (coed and men). 3 games finishing close to midnight. Life of a grassroots referee.  That might make for a good book. 🤔#referee #soccer #thirdteam #transref #girlsthatref,"['referee', 'soccer', 'thirdteam', 'transref', 'girlsthatref']"
27,Check out  https://t.co/moaGmniuwB  5 BTC sign up bonus / start betting by #bitcoin  Bet with #crypto #bitcoin #bet #aussie #australia #soccer #football #nba #cricket #game #Tuesday  https://t.co/BQQkr4yxgv,"['bitcoin', 'crypto', 'bitcoin', 'bet', 'aussie', 'australia', 'soccer', 'football', 'nba', 'cricket', 'game', 'tuesday']"
31,Soccer Super League  https://t.co/y7cBQSbAM6 #soccer #league #Football #16,"['soccer', 'league', 'football']"
34,3A Boys Soccer Final: #4 Lander 3 #5 Cody 2 #wyopreps #boyssoccer #soccer,"['wyopreps', 'boyssoccer', 'soccer']"
35,don't have any fans of you?! then let me be your very first big fan. I never stop to cheer. #soccer,['soccer']
36,#Soccer #Division 3 group 4 (Norway) Fram - Start 2 #1xbet info:  https://t.co/R5uJXQYDC2  https://t.co/uCLUTFUqyu,"['soccer', 'division', '1xbet']"
37,Haymaker Specials:  $3 TEXAS PINTS $3 TEXAS LIQUORS  #AustinBlues #IndependentSG #matchdayprogram #matchdayprogramme #matchday #watchparty #chelseafc #plusa #premierleague #soccer #football #retrosoccer #retrofootball #myPLmorning,"['austinblues', 'independentsg', 'matchdayprogram', 'matchdayprogramme', 'matchday', 'watchparty', 'chelseafc', 'plusa', 'premierleague', 'soccer', 'football', 'retrosoccer', 'retrofootball', 'myplmorning']"
38,#ArtificialIntelligence Is Changing #Soccer And Could Decide The 2022 World Cup   https://t.co/pJbDRImi0w @Forbes  #AI #MachineLearning #BigData #Analytics #DeepLearning #ML #100DaysofCode #serverless #iot #womenwhocode #Robots #WorldCup2022 #DataScience #DigitalTransformation  https://t.co/ruGpgI8yrV,"['artificialintelligence', 'soccer', 'ai', 'machinelearning', 'bigdata', 'analytics', 'deeplearning', 'ml', '100daysofcode', 'serverless', 'iot', 'womenwhocode', 'robots', 'worldcup2022', 'datascience', 'digitaltransformation']"
39,My Canadian Premier League Power Rankings for Matchday 1 #CPL #concacaf #CPL #Soccer #Football #Rankings,"['cpl', 'concacaf', 'cpl', 'soccer', 'football', 'rankings']"
41,When your kid is 27 and you still go watch his games #soccer #indoorsoccer #mondaythoughts  https://t.co/z1dzjyrwhH,"['soccer', 'indoorsoccer', 'mondaythoughts']"
43,Football fun facts   https://t.co/uobLwxmTvl    #SportsForPeace  #donation #soccer #soccerplayer #footballuniverse2022 #nft #OpenSeaNFT,"['sportsforpeace', 'donation', 'soccer', 'soccerplayer', 'footballuniverse2022', 'nft', 'openseanft']"
